course_code,requirement
03-121,BS in Biological Sciences---Biological Sciences---Modern Biology
03-151,BS in Biological Sciences---Biological Sciences---Modern Biology
03-201,BS in Biological Sciences---Biological Sciences---Colloquia
03-202,BS in Biological Sciences---Biological Sciences---Colloquia
03-301,BS in Biological Sciences---Biological Sciences---Colloquia
03-302,BS in Biological Sciences---Biological Sciences---Colloquia
03-401,BS in Biological Sciences---Biological Sciences---Colloquia
03-402,BS in Biological Sciences---Biological Sciences---Colloquia
03-220,BS in Biological Sciences---Biological Sciences---Genetics
03-231,BS in Biological Sciences---Biological Sciences---Biochemistry
03-232,BS in Biological Sciences---Biological Sciences---Biochemistry
02-250,BS in Biological Sciences---Biological Sciences---Introduction to Computational Biology
03-250,BS in Biological Sciences---Biological Sciences---Introduction to Computational Biology
03-251,BS in Biological Sciences---Biological Sciences---Introduction to Computational Biology
03-252,BS in Biological Sciences---Biological Sciences---Introduction to Computational Biology
03-240,BS in Biological Sciences---Biological Sciences---Cell Biology
03-320,BS in Biological Sciences---Biological Sciences---Cell Biology
03-343,BS in Biological Sciences---Biological Sciences---Experimental Techniques in Molecular Biology
03-344,BS in Biological Sciences---Biological Sciences---Experimental Biochemistry
03-345,BS in Biological Sciences---Biological Sciences---Experimental Biochemistry
03-346,BS in Biological Sciences---Biological Sciences---Experimental Biochemistry
03-411,BS in Biological Sciences---Biological Sciences---Topics in Research
03-412,BS in Biological Sciences---Biological Sciences---Topics in Research
03-326,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-327,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-350,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-362,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-363,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-364,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-365,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-366,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-380,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-390,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-391,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-392,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-410,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-428,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-435,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-439,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-442,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-451,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-511,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-512,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-534,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-620,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-709,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-711,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-712,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-713,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-726,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-727,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-728,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-730,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-740,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-741,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-742,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-744,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-751,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-760,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-762,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-763,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-765,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-770,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-791,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-871,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Advanced Biological Sciences Electives
03-115,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-116,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-124,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-125,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-126,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-127,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-133,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-161,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-326,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-327,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-350,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-362,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-363,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-364,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-365,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-366,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-370,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-390,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-391,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-392,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-428,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-435,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-439,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-442,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-451,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-511,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-512,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-534,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-620,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-709,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-711,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-712,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-713,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-726,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-727,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-728,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-730,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-740,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-741,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-742,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-744,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-751,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-762,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-763,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-765,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-770,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-791,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-871,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-113,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-117,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-230,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-120,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-118,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Departmental Electives Group
03-445,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Undergraduate Research
03-545,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Undergraduate Research
09-518,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
09-519,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
09-521,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
21-127,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
21-128,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
21-259,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
36-200,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
21-260,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
36-201,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
36-247,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
42-202,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
85-219,BS in Biological Sciences---Biological Sciences---Biological Sciences Electives---Biological Sciences Electives---Interdisciplinary Electives Group
09-105,BS in Biological Sciences---Chemistry---Modern Chemistry I
09-107,BS in Biological Sciences---Chemistry---Modern Chemistry I
09-106,BS in Biological Sciences---Chemistry---Modern Chemistry II
09-217,BS in Biological Sciences---Chemistry---Organic Chemistry I
09-219,BS in Biological Sciences---Chemistry---Organic Chemistry I
09-218,BS in Biological Sciences---Chemistry---Organic Chemistry II
09-220,BS in Biological Sciences---Chemistry---Organic Chemistry II
09-207,BS in Biological Sciences---Chemistry---General Chemistry Lab
09-221,BS in Biological Sciences---Chemistry---General Chemistry Lab
09-208,BS in Biological Sciences---Chemistry---Organic Chemistry Lab
09-222,BS in Biological Sciences---Chemistry---Organic Chemistry Lab
QC-211,BS in Biological Sciences---Chemistry---Organic Chemistry Lab---QC-211
02-201,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Programming"
15-110,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Programming"
15-112,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Programming"
21-112,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Calculus I"
21-120,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Calculus I"
21-122,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Calculus II"
21-124,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Calculus II"
33-111,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Physics I"
33-121,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Physics I"
33-141,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Physics I"
33-151,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Physics I"
33-112,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Physics II"
33-122,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Physics II"
33-142,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Physics II"
33-152,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Physics II"
99-101,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Core@CMU"
99-102,"BS in Biological Sciences---Mathematics, Physics and Computer Science---Core@CMU"
03-740,BS in Biological Sciences---Options---Biochemistry---Required Biology Electives---Advanced Biochemistry
21-259,BS in Biological Sciences---Options---Biochemistry---Required Biology Electives---Advanced Calculus
21-260,BS in Biological Sciences---Options---Biochemistry---Required Biology Electives---Advanced Calculus
09-518,BS in Biological Sciences---Options---Biochemistry---Any ONE of the following courses
09-519,BS in Biological Sciences---Options---Biochemistry---Any ONE of the following courses
09-521,BS in Biological Sciences---Options---Biochemistry---Any ONE of the following courses
03-442,BS in Biological Sciences---Options---Biochemistry---Recommended Biology Electives
03-534,BS in Biological Sciences---Options---Biochemistry---Recommended Biology Electives
03-439,BS in Biological Sciences---Options---Biochemistry---Recommended Biology Electives
03-871,BS in Biological Sciences---Options---Biochemistry---Recommended Biology Electives
03-439,BS in Biological Sciences---Options---Biophysics---Required Biology Electives
03-740,BS in Biological Sciences---Options---Biophysics---Required Biology Electives
21-259,BS in Biological Sciences---Options---Biophysics---Required Biology Electives
03-534,BS in Biological Sciences---Options---Biophysics---Recommended Biology Electives
03-871,BS in Biological Sciences---Options---Biophysics---Recommended Biology Electives
03-362,BS in Biological Sciences---Options---Cell Biology---Required Biology Electives
03-390,BS in Biological Sciences---Options---Cell Biology---Required Biology Electives
03-362,BS in Biological Sciences---Options---Cell Biology---Any ONE of the following courses
03-390,BS in Biological Sciences---Options---Cell Biology---Any ONE of the following courses
03-711,BS in Biological Sciences---Options---Computational Biology---Required Biology Electives
15-210,BS in Biological Sciences---Options---Computational Biology---Required Biology Electives
36-247,BS in Biological Sciences---Options---Computational Biology---Any ONE of the following courses
21-260,BS in Biological Sciences---Options---Computational Biology---Any ONE of the following courses
21-241,BS in Biological Sciences---Options---Computational Biology---Any ONE of the following courses
03-512,BS in Biological Sciences---Options---Computational Biology---Recommended Biology Electives
15-451,BS in Biological Sciences---Options---Computational Biology---Recommended Biology Electives
09-560,BS in Biological Sciences---Options---Computational Biology---Recommended Biology Electives
03-220,BS in Biological Sciences---Options---Genetics---Required Biology Electives---Genetics
03-326,BS in Biological Sciences---Options---Genetics---Required Biology Electives
03-327,BS in Biological Sciences---Options---Genetics---Required Biology Electives
03-442,BS in Biological Sciences---Options---Genetics---Required Biology Electives
03-730,BS in Biological Sciences---Options---Genetics---Required Biology Electives
03-391,BS in Biological Sciences---Options---Genetics---Recommended Biology Electives
03-350,BS in Biological Sciences---Options---Developmental Biology---Required Biology Electives
03-442,BS in Biological Sciences---Options---Developmental Biology---Required Biology Electives
03-751,BS in Biological Sciences---Options---Developmental Biology---Required Biology Electives
03-326,BS in Biological Sciences---Options---Developmental Biology---Recommended Biology Electives
03-741,BS in Biological Sciences---Options---Developmental Biology---Recommended Biology Electives
03-442,BS in Biological Sciences---Options---Molecular Biology---Required Biology Elective
09-518,BS in Biological Sciences---Options---Molecular Biology---Required Biology Elective
03-726,BS in Biological Sciences---Options---Molecular Biology---Required Biology Elective
03-727,BS in Biological Sciences---Options---Molecular Biology---Required Biology Elective
03-390,BS in Biological Sciences---Options---Molecular Biology---Recommended Biology Elective
03-391,BS in Biological Sciences---Options---Molecular Biology---Recommended Biology Elective
03-730,BS in Biological Sciences---Options---Molecular Biology---Recommended Biology Elective
03-362,BS in Biological Sciences---Options---Neuroscience---Required Biology Electives---Cellular Neuroscience
03-762,BS in Biological Sciences---Options---Neuroscience---Required Biology Electives---Cellular Neuroscience
03-363,BS in Biological Sciences---Options---Neuroscience---Required Biology Electives---Systems Neuroscience
03-763,BS in Biological Sciences---Options---Neuroscience---Required Biology Electives---Systems Neuroscience
03-700 to 03-999,BS in Biological Sciences---Options---Neuroscience---Required Biology Electives
03-133,BS in Biological Sciences---Options---Neuroscience---Any ONE of the following courses
03-350,BS in Biological Sciences---Options---Neuroscience---Any ONE of the following courses
03-364,BS in Biological Sciences---Options---Neuroscience---Any ONE of the following courses
03-365,BS in Biological Sciences---Options---Neuroscience---Any ONE of the following courses
03-366,BS in Biological Sciences---Options---Neuroscience---Any ONE of the following courses
03-534,BS in Biological Sciences---Options---Neuroscience---Any ONE of the following courses
42-202,BS in Biological Sciences---Options---Neuroscience---Any ONE of the following courses
85-219,BS in Biological Sciences---Options---Neuroscience---Any ONE of the following courses
38-100,EY2022 - Qatar Biological Sciences - General Education---First-Year Seminar
38-101,EY2022 - Qatar Biological Sciences - General Education---First-Year Seminar
76-101,EY2022 - Qatar Biological Sciences - General Education---Interpretation and Argument
76-102,EY2022 - Qatar Biological Sciences - General Education---Interpretation and Argument
76-106,EY2022 - Qatar Biological Sciences - General Education---Interpretation and Argument
76-107,EY2022 - Qatar Biological Sciences - General Education---Interpretation and Argument
76-108,EY2022 - Qatar Biological Sciences - General Education---Interpretation and Argument
99-101,EY2022 - Qatar Biological Sciences - General Education---C @ CM
38-304,EY2022 - Qatar Biological Sciences - General Education---Third-Year Seminar
09-225,EY2022 - Qatar Biological Sciences - General Education---Third-Year Seminar---Approved Coursework
09-303,EY2022 - Qatar Biological Sciences - General Education---Third-Year Seminar---Approved Coursework
09-325,EY2022 - Qatar Biological Sciences - General Education---Third-Year Seminar---Approved Coursework
09-403,EY2022 - Qatar Biological Sciences - General Education---Third-Year Seminar---Approved Coursework
09-510,EY2022 - Qatar Biological Sciences - General Education---Third-Year Seminar---Approved Coursework
