course_code,name,units,min_units,max_units,offered_qatar,offered_pitts,short_name,description,dep_code,prereqs_text
67-380,Information Systems Security,9,9,9,False,True,INFORMATION SYS SEC,"This course is an introduction to information systems security for the IS student.  The course will introduce the student to fundamental concepts in information system security, including operational issues, planning, and design.  Topics will include confidentiality, integrity, and availability risk access controls and access control frameworks security policies authentication strategies and issues auditing using cryptography security design issues controlling information flows malicious logic and applying security principles",67,
73-306,Upper Level Economics Elective Transfer Credit,9,9,12,True,False,UP LVL ECO TRN CR,This number holds a place for upper level economics elective non study abroad transfer credit courses so that these courses can be used in the academic audit system.,73,
80-521,Seminar on Formal Epistemology: Belief and Evidence,9,9,9,True,False,SEMR ON FRML EPISMLG,"There has been a flurry of recent work on a variety of modal logics designed for reasoning about knowledge, belief, and evidence, in both static and dynamic contexts. What is the relationship between knowledge and belief What is the role of evidence and justification How do we react to new information, update our beliefs, and reason conditionally These are old questions which modern logical frameworks promise to shed new light on. In this seminar we will read and analyze contemporary papers on these topics, both to gain an understanding of the current stateoftheart, and to critically assess the extent to which these formal frameworks are genuinely enhancing our understanding of the underlying phenomena of interest.",80,
15-418,Parallel Computer Architecture and Programming,12,12,12,True,False,PRLL COMP ARC & PGMG,"The fundamental principles and engineering tradeoffs involved in designing modern parallel computers, as well as the programming techniques to effectively utilize these machines. Topics include naming shared data, synchronizing threads, and the latency and bandwidth associated with communication. Case studies on sharedmemory, messagepassing, dataparallel and dataflow machines will be used to illustrate these techniques and tradeoffs. Programming assignments will be performed on one or more commercial multiprocessors, and there will be a significant course project.",15,15-213 [] at least C
99-345,Global Health: Clean Water and Sanitation,3,3,3,True,False,GLOB HLTH SANITATION,"NEW weekend mini course proposed jointly with CMU and the University of Pittsburgh to be held on CMUs campus the weekend of February 2325, 2018.  With each global health crisis, the interconnectedness of populations around the globe becomes more pronounced. Diseases not only affect the health of communities, but they have a profound impact on political, economic, and social stability within countries and regions. This course engages the interdisciplinary nature of global health by approaching the issue through the lens of the Sustainable Development Goals SDG developed by the United Nations. The SDGs range in focus from good health and wellbeing to gender equality to clean water and sanitation to affordable, clean energy. By engaging the ways that health has a stake in these goals, the course will bring the expertise of faculty from the University of Pittsburgh and CMU to understand and address the issue surrounding global health from a myriad of perspectives and avenues. With a projectbased focus, the course will assist students in engaging and impacting their local community though a global issue.",99,
98-345,Student Taught Courses (STUCO): DoReMi: An Introduction to Piano Music,3,3,3,False,True,STUCO:DOREMI PIANO,"This 3unit course aims to teach the basics of reading musical notation. It serves as an introduction to piano music both in its theory and practical aspects. The course will focus on developing an interest for music through improvisation techniques, rhythm development and an introduction to playing simple music confidently. It is designed to teach adult beginners and uses a creative approach to teaching music through activities and group work.",98,
76-324,Topics in Rhetoric: Language and Place,9,9,9,False,True,LANGUAGE & PLACE,TBD,76,(76-101 [] at least D) or (76-102 [] at least D) or ((76-106 [] at least D) and (76-107 [] at least D)) or ((76-107 [] at least D) and (76-108 [] at least D)) or ((76-106 [] at least D) and (76-108 [] at least D))
82-314,Literature of the Arabic-speaking World,9,9,9,False,True,LIT OF ARABIC WLD,"This repeatable introductory course explores the Arab world through a thematic  or conceptual focus.   In spring 2018, the theme will be Diversity in The Arab Culture. Coursework will include reading short stories and novels to understand the cultural context that gave rise to specific literary works. Students will also continue to develop their abilities to express their ideas both in speaking and in writing, as well as their listening skills in Modern Standard Arabic. There is no prerequisite for this course but it is expected that your language proficiency in the Arabic language is good. This is a content course in the Arabic language and not an Arabic language course.",82,
03-301,Undergraduate Colloquium for Juniors,1,1,2,True,False,UNDGRAD COLLQM JUNR,"The purpose of this seminar series is to update biology undergraduates about university and departmental functions, seminars, etc. that are pertinent or useful. In addition, research talks by faculty and undergraduates will be used to introduce students to the research being conducted in faculty laboratories. Additional topics may include graduate and medical school applications, career options, topics in the press, and important scientific discoveries.This course is for Biological Science majors only. Bio majors are required to pass 2 units and Neuroscience majors are required to pass 1 unit of this course to graduate, and should ideally REGISTER for this course in the fall of their sophomore year.",3,
70-476,Service Operations Management,9,9,9,False,True,SERVICE OPER MGMT,"The service sector accounts for approximately 70 of the GDP and 85 of the jobs in the United States. Given the everincreasing role of services in the economy, it is crucial for a manager to understand both how services differ from manufacturing operations and how traditional operations management techniques can be applied to services. This course provides a general managers perspective on strategic analysis as well as operational decision making. The course will examine settings in traditional service businesses such as financial services banking, retail environments, and transportation airlines, and healthcare sector. The Additional topics include evaluation of management of service quality, variability and customer waits, and revenue management. The course is intended for students interested in general management, consulting, financial services, or operations.",70,((36-202 [] at least D) or (36-208 [] at least D) or (70-208 [] at least D)) and (70-371 [] at least D)
19-429,Climate Change Science and Solutions,9,9,9,True,False,CLIMATE SCI SOL,"This course consists of four parts. The first part will provide a primer for those who are curious about the physical mechanisms by which climate is determined, and by which climate change occurs. The treatment of these mechanisms will not be overly quantitative, and no knowledge of meteorology or atmospheric science is needed. Collegelevel physics, as well as basic calculus and basic chemistry, is, however, needed. The second part will describe the projected consequences of climate change, as well as those that are already occurring. This part will also familiarize students with how societies might adapt to these changes. The third part will explore and critique some of the tools that decisionmakers use to quantify and compare the damages caused by these consequences. The final part of the course will discuss some of the technologies that could be used to prevent dangerous climate change.",19,
98-129,Student Taught Courses (StuCo): Principles of Dysfunctional Programming,3,3,3,True,False,STUCO: PRIN DYS PYMG,"For much of our lives, were put under pressure to do things quickly. In life, we often feel that we always have to be both effective and efficient. In this course, we offer an alternative approach to programming, where we give ourselves time to stop and smell the roses. Instead of chugging cups and cups of coffee to help us write efficient algorithms, we will instead write wonderfully inefficient algorithms which will allow us to code first, and then have a nice tea break while our algorithm continues to calmly perform its assigned tasks until the heat death of the universe. Welcome to Dysfunctional Programming, where we will take a leisurely stroll to explore pessimal algorithms with some concepts of computational complexity, some theory of computation, some programming techniques, and some math Knowledge of programming will be generally helpful to take this course, but this course will attempt to be fairly beginnerfriendly. To that end, little theoretical computer science knowledge is needed coming into this course, though skill in writing proofs may be useful.",98,
33-211,Physics III: Modern Essentials,10,10,10,True,False,PHYS III: MOD ESSENT,"Physics III is primarily for thirdsemester students of physics, including all physics majors, but is open to any qualified student who wants an introduction to the physics of the 20th century. The course will have a strong component of Special Relativity, dealing with kinematics and dynamics, but not electricity and magnetism. See 33213 description. It will introduce students to a conceptual theory, which is mathematically simple but initially nonintuitive. The course also provides a broad exposure to quantum phenomena and early quantum theory without getting overly mathematical. It leads into the more formal Quantum Physics course 33234.",33,(33-107 [] at least D) or (33-142 [] at least D) or (33-122 [] at least D) or (33-132 [] at least D) or (33-112 [] at least D) or (33-152 [] at least D)
70-499,Internship,3,3,3,True,False,INTERNSHIP,"Students doing a businessrelated internship for academic credit may enroll in this course for three units with a passno pass grade. Students must submit an internship agreement form to the instructor for approval prior to the start of the internship. A summary writing assignment must be submitted after the internship in order to receive credit. Enrollment with special permission. This course may use thirdparty course material that is not available for individual purchase from the publisher.   If so, the thirdparty course material will be secured and provided by the Tepper School to students enrolled in the course, and students enrolled in the course will be required to pay to the University the associated additional course materials fee for the thirdparty course material provided.   The amount of the course materials fee is dependent on the Universitys cost of the particular materials provided, and typically ranges from 13 to 75.",70,
79-465,The Arts in Qatar,9,9,9,False,True,ARTS IN QATAR,"This course will examine the arts in Qatar, both historically and in the present. We will focus especially on art exhibits and musical events scheduled by the citys museums and concert halls during the Spring 2020 semester. The curriculum will derive from the artistic presentations themselves, which will provide a springboard for reading assignments and research papers in the history of music and art. We will also examine the historical development of cultural institutions in Qatar.",79,
76-261,Intro to Writing Creative Nonfiction,9,9,9,True,False,INTRO WRT CRTV NONFI,"According to The National Endowment for the Arts, creative nonfiction is factual prose that is also literary.   Memoir, the essay, and literary journalism are just three kinds of work that fit into this broad, vital genre.  While creative nonfiction often borrows techniques from fiction, such as narrative, scene, dialogue, and point of view, creative nonfiction is based on actual events, characters and places.  What distinguishes creative nonfiction from journalism is that it conveys more than barebones facts language, analysis and narrative voice are an integral part of each piece.  Journalists seek the truth by attempting to be objective.  Writers of creative nonfiction understand that truth is often the biased, subjective truth as experienced by the author.",76,(76-101 [] at least D) or (76-102 [] at least D) or ((76-106 [] at least D) and (76-107 [] at least D)) or ((76-106 [] at least D) and (76-108 [] at least D)) or ((76-107 [] at least D) and (76-108 [] at least D))
05-392,Interaction Design Overview,9,9,9,True,False,INTERACTN DESGN OVRV,"This studio course offers a broad overview of communication and interaction design. Students will learn design methodologies such as brainstorming, sketching, storyboarding, wire framing, and prototyping. Students learn to take a humancentered design approach to their work. Assignments include short inclass exercises as well as individual and teambased projects. Students take part in studio critiques, engaging in critical discussions about the strengths and weaknesses of their own work and the work of others. No coding is required. When registering for this course, undergraduate students are automatically placed the wait list.",5,
84-387,Remote Systems and the Cyber Domain in Conflict,9,9,9,True,False,REMOTE SYSTEMS CYBER,"For most of human history, warfare took place facetoface or in close proximity using weapons like rocks, swords, spears, bow and arrows, and firearms. The development of technologies like missiles, drones,  the internet have changed the character of warfare by enabling actors to use lethal force  cause disruption thousands of miles away from the battlefield. Technological advancements have arguably even led to the creation of an entirely humanmade domain of warfare the cyber domain that is distinct from the land, sea, air  space domains. This course will analyze the impact of drones  the cyber domain on international conflict. We will study the historical origins of these technologies, why  how they have spread, their use  effectiveness on the battlefield, ethical questions surrounding their use,  whether arms control is possible. How is the information revolution in computing similar  different from prior revolutions in military affairs Are drones and the cyber domain transforming conflict by giving the offense a significant advantage over the defense, or is their offensive and destructive potential exaggerated Is coercion possible in cyberspace, or does the attribution problem impede deterrence Might drones actually reduce the risks of escalation in interstate conflict by removing the desire for revenge if a pilot is killed How has the internet been weaponized to enable economic warfare and election interference Might cyber espionage undermine the United States military advantage, and should the US ban TikTok Do drones decrease or increase terrorism Is remote warfare  the use of lethal autonomous weapons systems sometimes referred to as killer robots inherently unethical These are just a handful of the questions we will explore in this class. By the end of the course, students will have a grasp of the history of the information revolution  many of the key debates  theories in this field.",84,
98-257,Student Taught Courses (StuCo): Exploring Sexism on the Silver Screen,3,3,3,False,True,STUCO: EXP SEXSM SCN,"This course will examine the portrayal of the sexes on the silver screen by looking at different facets such as the women in refrigerators trope in superhero films, the thinly veiled sexism in Bollywood item songs, and the glassestocontactsandstraighthairmakeover in coming of age films. We will also discuss the implications of such a representation as it plays a vital role in perpetuating unattainable body standards, reinforces gender roles, and more.",98,
67-338,Information & Grid Design,9,9,9,True,True,INFO & GRID DESIGN,"Whether you create, oversee, or want practice solving problems through grid systems for websites, responsive applications, slide presentations, or data visualizations, this course provides the skills and perspective needed to communicate in grid environments a synthesis of content, structure, and interaction.   Grids emerged to address contentstructure needs linked to print production, leaving opportunities to fully explore how they can better help stakeholders in interactive environments. As we explore this space, specific skillsets will include   developing a better understanding of visual composition through the grid,   using the vocabulary of communication and information design in critique,   manipulating typographic variables to create readable documents,   learning approaches to invention using image, text,  typography,   creating simple to complex grid structures,   developing skills in Illustrator, Photoshop, and Adobe XD,   adapting simple prototypes to HTMLCSS through basic Bootstrap.",67,
70-421,Entrepreneurship for Computer Scientists,9,9,9,True,True,ENTREP COMP SCIENT,"This course is primarily for nonbusiness school students it includes most of Introduction to Entrepreneurship 70415, assumes no background courses in business and involves additional sessions for core business concepts. Students with majors in science, technology, engineering or computer science are exposed to fundamental concepts and issues in innovation, business and entrepreneurship. Students can expect to gain a basic understanding of functional areas such as finance, funding, marketing, sales and management. Student Status Sophomore year or higher.",70,
98-191,Student Taught Courses (StuCo): The Evolution and Impact of Fashion Trends in th,3,3,3,False,True,STUCO: FASHION,"Everyone wants to be the best dressed version of themselves. We want to know what is in and out of style, where we can buy the newest trends and what affects them. Trends are changing faster than ever before, and although this is positively affecting our closets, it is negatively affecting our wallets and the environment. In this course, we will be exploring the driving forces behind trends, how they have changed since the early 200s and how we can ensure that this fastpaced fashion culture does not negatively affect our environment.",98,
82-343,Cultures of Latin America,9,9,9,True,False,CLTRS LATIN AMRCA,"What is Latin America What is Latin American culture The course explores these questions by examining representative Spanishlanguage materials created in the region from the preColumbian period to the present.  These materials will include literary texts, art, films, and elements of popular culture. We will consider important moments and movements that have shaped the course of the regions history and politics, such as conquest and colonization, wars of independence and constitution of nationstates, Mexican and Cuban Revolutions, and the rise of Latin American youth countercultures, as well as current events and challenges. This course is part of the postintermediate, 300level program that forms the introduction to the major or minor in Spanish. In addition to enriching cultural proficiency by improving an understanding of Latin America, its people and its cultures, and developing critical skills in a progression from comprehension to analysis and interpretation, the course advances grammatical accuracy and verbal communication in the Spanish language.  The inclass setting will be studentcentered, and thus highly interactive. Assignments will include reflective essays, individualized research, and the generation, expression, analysis, and rewriting of ideas. Reading and writing skills will be complemented by continued oral practice in the form of small and large group discussions and class presentations. The class is conducted entirely in Spanish.",82,(82-244 [] at least D) or (82-242 [] at least D)
