dep_code,name
48,Architecture
60,Art
93,Arts & Entertainment Management
52,BXA Intercollege Degree Programs
3,Biological Sciences
42,Biomedical Engineering
70,Business Administration
62,CFA Interdisciplinary/Arts
39,CIT Interdisciplinary
84,CM Institute for Strategy and Tech
97,CMUQ-Wide Studies
99,Carnegie Mellon University-Wide Studies
6,Chemical Engineering
9,Chemistry
12,Civil & Environmental Engineering
2,Computational Biology
15,Computer Science
51,Design
66,Dietrich College Interdisciplinary
54,Drama
73,Economics
18,Electrical & Computer Engineering
19,Engineering & Public Policy
76,English
53,Entertainment Technology
65,General Dietrich College
94,Heinz College Wide Courses
79,History
5,Human-Computer Interaction
4,Information & Communication Technology
14,Information Networking Institute
67,Information Systems Program
95,Information Systems:Sch of IS & Mgt
49,Integrated Innovation Institute
11,Language Technologies Institute
82,Languages Cultures & Appl Linguistics
38,MCS Interdisciplinary
10,Machine Learning
27,Materials Science & Engineering
21,Mathematical Sciences
24,Mechanical Engineering
92,Medical Management:Sch of Pub Pol & Mgt
57,Music
32,Naval Science - ROTC
86,Neuroscience Institute
80,Philosophy
69,Physical Education
33,Physics
85,Psychology
91,Public Management:Sch of Pub Pol & Mgt
90,Public Policy & Mgt:Sch of Pub Pol & Mgt
16,Robotics
7,SCS Interdisciplinary
88,Social & Decision Sciences
17,Software & Societal Systems
36,Statistics and Data Science
98,StuCo (Student Led Courses)
