enrollment_id,class,enrollment_count,department,section,offering_id
02-250_F20_2_W_QBS,,1,QBS,W,
02-250_F20_3_W_QBS,,16,QBS,W,
02-250_F20_4_W_QBS,,3,QBS,W,
02-250_F20_5_W_QBS,,1,QBS,W,
02-250_F20_2_W_QCS,,1,QCS,W,
03-120_F20_4_W2_CS,,1,CS,W2,
03-120_F20_2_W2_QBA,,3,QBA,W2,
03-120_F20_4_W2_QBA,,2,QBA,W2,
03-120_F20_2_W2_QBS,,1,QBS,W2,
03-120_F20_3_W2_QBS,,8,QBS,W2,
03-120_F20_4_W2_QBS,,4,QBS,W2,
03-120_F20_3_W2_QCS,,2,QCS,W2,
03-120_F20_3_W2_QIS,,1,QIS,W2,
03-120_F20_4_W2_QIS,,1,QIS,W2,
03-121_F20_2_W_BA,,1,BA,W,
03-121_F20_3_W_QCS,,1,QCS,W,
03-121_F20_0_W_SPC,,5,SPC,W,
03-125_F20_2_W_QBS,,3,QBS,W,
03-125_F20_3_W_QBS,,1,QBS,W,
03-125_F20_4_W_QBS,,7,QBS,W,
03-125_F20_3_W_QCS,,3,QCS,W,
03-125_F20_3_W_QIS,,2,QIS,W,
03-128_F20_2_W_QBA,,2,QBA,W,
03-128_F20_4_W_QBA,,1,QBA,W,
03-128_F20_2_W_QCS,,4,QCS,W,
03-128_F20_3_W_QCS,,6,QCS,W,
03-128_F20_4_W_QCS,,1,QCS,W,
03-128_F20_2_W_QIS,,3,QIS,W,
03-151_F20_1_2_QBS,,17,QBS,2,
03-151_F20_4_2_QCS,,7,QCS,2,
03-151_F20_1_W_QBS,,17,QBS,W,
03-151_F20_4_W_QCS,,7,QCS,W,
03-201_F20_2_W_QBS,,18,QBS,W,
03-201_F20_3_W_QBS,,1,QBS,W,
03-201_F20_2_W_QCS,,1,QCS,W,
03-210_F20_2_W1_QBS,,3,QBS,W1,
03-210_F20_3_W1_QBS,,1,QBS,W1,
03-210_F20_2_W1_QCS,,1,QCS,W1,
03-232_F20_2_1_BSA,,1,BSA,1,
03-232_F20_2_1_CMY,,2,CMY,1,
03-232_F20_2_1_QBS,,17,QBS,1,
03-232_F20_3_1_QBS,,2,QBS,1,
03-232_F20_2_1_QCS,,2,QCS,1,
03-232_F20_2_W_QBS,,15,QBS,W,
03-232_F20_3_W_QBS,,2,QBS,W,
03-232_F20_2_W_QCS,,2,QCS,W,
03-232_F20_2_X_CMY,,2,CMY,X,
03-232_F20_2_X_QBS,,2,QBS,X,
03-232_F20_2_Y_BSA,,1,BSA,Y,
03-343_F20_2_2_QBS,,1,QBS,2,
03-343_F20_3_2_QBS,,13,QBS,2,
03-343_F20_4_2_QBS,,2,QBS,2,
03-343_F20_2_W_QBS,,1,QBS,W,
03-343_F20_3_W_QBS,,13,QBS,W,
03-343_F20_4_W_QBS,,2,QBS,W,
03-390_F20_2_W_QBS,,1,QBS,W,
03-390_F20_3_W_QBS,,13,QBS,W,
03-390_F20_4_W_QBS,,7,QBS,W,
03-411_F20_2_W_QBS,,1,QBS,W,
03-411_F20_3_W_QBS,,15,QBS,W,
03-411_F20_4_W_QBS,,13,QBS,W,
03-435_F20_3_W_QBS,,5,QBS,W,
03-435_F20_4_W_QBS,,9,QBS,W,
03-445_F20_4_W_QBS,,1,QBS,W,
03-445_F20_3_X_QBS,,1,QBS,X,
03-445_F20_4_XX_QBS,,2,QBS,XX,
07-129_F20_1_W1_QCS,,27,QCS,W1,
07-599_F20_4_W_QCS,,1,QCS,W,
09-105_F20_1_3_QBS,,15,QBS,3,
09-105_F20_2_3_QCS,,1,QCS,3,
