offering_id,semester,course_code,campus_id
67-380_S22_2,S22,67-380,2
67-380_S24_2,S24,67-380,2
73-306_M19_1,M19,73-306,1
73-306_M20_1,M20,73-306,1
73-306_M21_1,M21,73-306,1
73-306_M22_1,M22,73-306,1
73-306_M23_1,M23,73-306,1
80-521_S16_1,S16,80-521,1
80-521_F16_1,F16,80-521,1
80-521_S18_1,S18,80-521,1
80-521_S20_1,S20,80-521,1
80-521_S21_1,S21,80-521,1
15-418_F23_1,F23,15-418,1
15-418_S24_1,S24,15-418,1
15-418_F24_1,F24,15-418,1
15-418_S25_1,S25,15-418,1
15-418_F25_1,F25,15-418,1
99-345_S18_1,S18,99-345,1
98-345_S19_2,S19,98-345,2
76-324_F15_2,F15,76-324,2
76-324_S17_2,S17,76-324,2
76-324_F17_2,F17,76-324,2
76-324_F22_2,F22,76-324,2
82-314_S18_2,S18,82-314,2
82-314_F19_2,F19,82-314,2
82-314_F20_2,F20,82-314,2
82-314_S23_2,S23,82-314,2
82-314_F24_2,F24,82-314,2
03-301_F21_1,F21,03-301,1
03-301_F22_1,F22,03-301,1
03-301_F23_1,F23,03-301,1
03-301_F24_1,F24,03-301,1
03-301_F25_1,F25,03-301,1
70-476_F19_2,F19,70-476,2
70-476_S22_2,S22,70-476,2
70-476_F23_2,F23,70-476,2
19-429_F21_1,F21,19-429,1
19-429_F22_1,F22,19-429,1
19-429_F23_1,F23,19-429,1
19-429_F24_1,F24,19-429,1
19-429_F25_1,F25,19-429,1
98-129_F22_1,F22,98-129,1
33-211_F23_1,F23,33-211,1
33-211_S24_1,S24,33-211,1
33-211_F24_1,F24,33-211,1
33-211_S25_1,S25,33-211,1
33-211_F25_1,F25,33-211,1
70-499_M24_1,M24,70-499,1
70-499_F24_1,F24,70-499,1
70-499_S25_1,S25,70-499,1
70-499_M25_1,M25,70-499,1
70-499_F25_1,F25,70-499,1
79-465_S21_2,S21,79-465,2
79-465_S22_2,S22,79-465,2
79-465_S23_2,S23,79-465,2
79-465_S24_2,S24,79-465,2
79-465_S25_2,S25,79-465,2
76-261_S21_1,S21,76-261,1
76-261_S22_1,S22,76-261,1
76-261_F22_1,F22,76-261,1
76-261_S23_1,S23,76-261,1
76-261_F24_1,F24,76-261,1
05-392_M21_1,M21,05-392,1
05-392_F21_1,F21,05-392,1
05-392_S22_1,S22,05-392,1
05-392_F22_1,F22,05-392,1
05-392_S23_1,S23,05-392,1
84-387_S21_1,S21,84-387,1
84-387_S22_1,S22,84-387,1
84-387_S23_1,S23,84-387,1
84-387_S24_1,S24,84-387,1
84-387_S25_1,S25,84-387,1
98-257_F21_2,F21,98-257,2
67-338_S20_2,S20,67-338,2
67-338_S21_2,S21,67-338,2
67-338_F19_1,F19,67-338,1
67-338_F20_1,F20,67-338,1
67-338_F21_1,F21,67-338,1
67-338_F22_1,F22,67-338,1
67-338_F23_1,F23,67-338,1
70-421_F15_2,F15,70-421,2
70-421_F15_1,F15,70-421,1
70-421_F16_1,F16,70-421,1
70-421_S18_1,S18,70-421,1
70-421_S19_1,S19,70-421,1
98-191_S22_2,S22,98-191,2
82-343_F21_1,F21,82-343,1
82-343_S22_1,S22,82-343,1
82-343_S23_1,S23,82-343,1
82-343_S24_1,S24,82-343,1
82-343_S25_1,S25,82-343,1
76-373_S17_2,S17,76-373,2
76-373_S20_2,S20,76-373,2
76-373_S25_2,S25,76-373,2
76-373_F23_1,F23,76-373,1
76-373_S24_1,S24,76-373,1
76-373_F24_1,F24,76-373,1
76-373_S25_1,S25,76-373,1
76-373_F25_1,F25,76-373,1
84-104_F21_1,F21,84-104,1
84-104_F22_1,F22,84-104,1
84-104_F23_1,F23,84-104,1
84-104_F24_1,F24,84-104,1
84-104_F25_1,F25,84-104,1
76-236_F23_1,F23,76-236,1
76-236_S25_1,S25,76-236,1
79-432_S23_1,S23,79-432,1
09-209_F16_1,F16,09-209,1
85-104_M21_2,M21,85-104,2
85-104_F20_1,F20,85-104,1
85-104_S22_1,S22,85-104,1
85-104_F22_1,F22,85-104,1
85-104_F23_1,F23,85-104,1
85-104_F24_1,F24,85-104,1
17-450_S21_1,S21,17-450,1
69-195_S18_1,S18,69-195,1
69-195_F18_1,F18,69-195,1
69-195_F19_1,F19,69-195,1
73-347_S16_2,S16,73-347,2
73-347_F19_2,F19,73-347,2
73-347_S21_2,S21,73-347,2
73-347_S23_2,S23,73-347,2
73-347_S24_2,S24,73-347,2
73-347_F21_1,F21,73-347,1
73-347_F22_1,F22,73-347,1
73-347_F23_1,F23,73-347,1
73-347_F24_1,F24,73-347,1
73-347_F25_1,F25,73-347,1
99-241_F15_1,F15,99-241,1
99-241_F16_1,F16,99-241,1
99-241_F17_1,F17,99-241,1
99-241_F18_1,F18,99-241,1
80-130_F19_2,F19,80-130,2
80-130_F21_2,F21,80-130,2
80-130_S23_2,S23,80-130,2
80-130_S25_2,S25,80-130,2
80-130_F23_1,F23,80-130,1
80-130_M24_1,M24,80-130,1
80-130_F24_1,F24,80-130,1
80-130_M25_1,M25,80-130,1
80-130_F25_1,F25,80-130,1
03-439_F18_1,F18,03-439,1
03-439_F19_1,F19,03-439,1
03-439_F20_1,F20,03-439,1
03-439_F22_1,F22,03-439,1
03-439_F24_1,F24,03-439,1
98-304_F16_1,F16,98-304,1
76-365_F23_1,F23,76-365,1
76-365_S24_1,S24,76-365,1
76-365_F24_1,F24,76-365,1
76-365_S25_1,S25,76-365,1
76-365_F25_1,F25,76-365,1
82-355_S16_2,S16,82-355,2
82-355_S20_2,S20,82-355,2
82-355_F22_2,F22,82-355,2
98-187_F15_1,F15,98-187,1
98-187_S22_1,S22,98-187,1
98-187_S23_1,S23,98-187,1
70-437_F21_1,F21,70-437,1
70-437_F22_1,F22,70-437,1
70-437_F23_1,F23,70-437,1
70-437_F24_1,F24,70-437,1
70-437_F25_1,F25,70-437,1
70-122_F22_2,F22,70-122,2
70-122_F23_2,F23,70-122,2
70-122_S24_2,S24,70-122,2
70-122_F24_2,F24,70-122,2
70-122_S25_2,S25,70-122,2
70-122_M24_1,M24,70-122,1
70-122_F24_1,F24,70-122,1
70-122_S25_1,S25,70-122,1
70-122_M25_1,M25,70-122,1
70-122_F25_1,F25,70-122,1
98-168_F23_2,F23,98-168,2
51-215_F19_2,F19,51-215,2
51-215_S23_2,S23,51-215,2
76-220_F24_1,F24,76-220,1
76-220_F25_1,F25,76-220,1
18-487_F15_1,F15,18-487,1
18-487_F16_1,F16,18-487,1
18-487_F17_1,F17,18-487,1
21-300_S16_2,S16,21-300,2
21-300_F16_2,F16,21-300,2
21-300_F17_2,F17,21-300,2
21-300_F18_2,F18,21-300,2
21-300_F21_2,F21,21-300,2
21-300_F21_1,F21,21-300,1
21-300_F22_1,F22,21-300,1
21-300_F23_1,F23,21-300,1
21-300_F24_1,F24,21-300,1
21-300_F25_1,F25,21-300,1
73-310_F15_1,F15,73-310,1
67-379_F16_2,F16,67-379,2
67-379_F17_2,F17,67-379,2
67-379_S19_2,S19,67-379,2
67-379_F21_2,F21,67-379,2
67-379_F22_2,F22,67-379,2
98-353_F19_2,F19,98-353,2
36-225_F23_1,F23,36-225,1
36-225_M24_1,M24,36-225,1
36-225_F24_1,F24,36-225,1
36-225_M25_1,M25,36-225,1
36-225_F25_1,F25,36-225,1
99-353_F23_1,F23,99-353,1
99-353_S24_1,S24,99-353,1
99-353_F24_1,F24,99-353,1
